bedrooms,bathrooms,area,lot_size,floors,age,garage,fireplace,renovated,neighborhood,distance_city,price,price_hilo
4,5.0,3238,6706.0,2,119,0,0,0,0,20.0,819855.0,1
5,5.0,3284,2504.0,1,4,1,1,1,1,8.27,990663.0,1
4,5.0,2745,4377.0,2,83,1,0,0,0,19.08,811930.0,1
3,3.5,2755,9365.0,2,8,0,1,1,1,7.12,846688.0,1
3,3.5,2135,2414.0,1,48,1,1,0,1,2.42,732705.0,0
3,4.0,2116,2303.0,1,3,1,1,1,0,16.58,597394.0,0
3,3.0,2243,4028.0,1,113,1,1,0,1,10.64,683992.0,0
2,2.5,1706,4168.0,2,93,1,1,0,1,4.55,598086.0,0
2,2.5,1853,2924.0,2,47,1,1,0,1,12.49,528860.0,0
2,3.0,1938,11410.0,1,43,1,1,0,1,3.7,686724.0,0
6,5.0,3743,3656.0,2,43,1,1,0,1,2.0,961270.0,1
2,2.5,1714,13787.0,2,18,1,1,0,1,10.38,668014.0,0
4,4.0,3238,4236.0,1,33,1,1,0,1,5.02,1030681.0,1
4,5.0,3434,3568.0,2,7,1,1,1,0,11.95,949053.0,1
3,3.5,2572,9941.0,2,39,1,0,0,0,16.44,818739.0,1
3,3.0,2315,2916.0,1,13,0,0,0,1,8.66,671974.0,0
3,4.0,1959,5152.0,1,57,0,0,0,1,5.91,670313.0,0
4,4.0,2670,2048.0,1,102,1,1,0,0,19.9,701467.0,0
5,5.0,3947,3100.0,2,61,1,0,0,1,7.95,1074505.0,1
6,5.0,4460,2359.0,1,8,1,0,1,1,3.61,1197863.0,1
3,3.0,2720,4564.0,1,3,1,1,1,1,2.87,870900.0,1
2,2.5,1700,1514.0,2,25,1,0,1,1,8.05,525388.0,0
3,3.5,2529,2711.0,2,44,1,1,0,0,19.17,695766.0,0
5,5.0,3778,1594.0,1,10,0,0,1,0,14.77,901742.0,1
3,3.5,2746,3462.0,1,90,1,1,0,1,2.55,786375.0,0
3,4.0,2244,4240.0,1,119,0,1,0,1,2.53,746465.0,0
5,5.0,3359,2059.0,2,20,1,0,0,0,16.17,849166.0,1
3,3.5,2322,5133.0,2,4,1,1,1,1,10.8,816462.0,1
4,4.0,2389,6309.0,2,21,0,1,0,1,6.38,775450.0,0
5,5.0,3252,1804.0,1,106,1,0,0,1,1.17,984682.0,1
3,3.0,2422,1591.0,1,40,1,0,0,1,3.57,666274.0,0
4,4.0,2624,3399.0,1,11,1,0,0,0,16.27,668503.0,0
6,5.0,4429,2651.0,2,15,1,0,0,1,9.88,1258045.0,1
4,4.5,3011,4946.0,2,8,0,0,1,1,3.24,903235.0,1
3,4.0,1991,5522.0,1,62,1,0,0,1,7.2,631681.0,0
5,5.0,4000,8962.0,1,6,1,1,1,1,6.97,1149643.0,1
2,2.5,1369,6059.0,2,113,1,1,0,1,4.28,531070.0,0
4,4.5,3442,4100.0,2,100,1,1,0,1,10.57,910621.0,1
3,3.0,1663,3340.0,3,17,0,1,0,1,3.29,574334.0,0
5,5.0,3773,1689.0,2,24,1,1,0,1,5.14,1055899.0,1
3,3.0,2424,2836.0,2,61,1,1,0,1,3.07,713627.0,0
2,2.5,1706,4152.0,3,93,1,1,0,1,8.64,533218.0,0
3,3.0,2118,3888.0,1,110,0,0,0,1,12.54,582413.0,0
1,1.5,1193,7737.0,2,118,1,0,0,0,21.93,298715.0,0
4,4.5,3582,7966.0,3,35,1,0,0,1,7.05,1051531.0,1
4,4.0,2418,1939.0,1,80,1,0,0,0,12.43,655136.0,0
3,3.5,2169,2608.0,2,52,1,1,0,0,16.98,599692.0,0
5,5.0,4124,1556.0,1,43,0,0,0,1,2.85,1042023.0,1
4,5.0,3584,3769.0,1,42,1,0,1,1,3.94,1054059.0,1
3,3.0,2436,2537.0,1,18,0,0,0,1,6.49,643326.0,0
3,4.0,2654,2290.0,2,26,1,1,0,1,2.71,817364.0,1
4,4.5,3520,7472.0,2,38,1,1,0,0,17.25,943948.0,1
4,5.0,2967,3334.0,1,25,1,1,0,1,2.99,842024.0,1
1,1.0,666,2668.0,2,76,1,1,1,0,13.01,277176.0,0
2,2.0,1784,2149.0,1,19,1,1,0,1,7.48,561090.0,0
4,4.0,2983,5524.0,2,63,1,0,0,0,6.91,772054.0,0
5,5.0,3874,8273.0,2,11,1,1,0,1,7.84,1221347.0,1
5,5.0,3696,6904.0,1,43,1,0,0,0,14.29,987626.0,1
3,3.0,2443,2373.0,1,37,1,1,0,0,15.67,580070.0,0
3,3.0,2265,4206.0,1,34,1,0,0,0,15.47,669849.0,0
2,2.0,1251,3648.0,2,52,1,0,0,0,17.27,374918.0,0
5,5.0,4006,2951.0,1,52,1,0,0,0,13.8,1060758.0,1
2,2.0,1746,7538.0,1,92,0,0,0,0,24.82,578139.0,0
4,4.5,3136,6272.0,1,49,1,1,0,1,3.46,1045644.0,1
4,5.0,3568,3580.0,2,86,1,0,0,1,8.19,1017174.0,1
3,3.0,3123,4544.0,1,83,0,0,0,1,6.45,854259.0,1
3,3.5,2117,4239.0,1,45,1,0,0,0,15.45,642748.0,0
5,5.0,3990,4021.0,2,26,1,0,0,1,4.37,1111496.0,1
5,5.0,3580,3353.0,2,83,0,1,0,1,11.52,1015220.0,1
4,4.0,3543,2115.0,1,119,1,0,0,1,7.16,958746.0,1
5,5.0,3056,6301.0,1,90,0,0,0,0,21.16,805704.0,1
2,3.0,2154,3086.0,1,96,0,0,0,0,9.36,578571.0,0
2,2.5,1670,5546.0,2,52,1,0,0,0,18.35,518526.0,0
5,5.0,3434,1641.0,1,34,1,1,0,1,11.32,939898.0,1
4,4.0,2943,2085.0,1,85,1,1,0,0,4.79,748497.0,0
6,5.0,4286,3421.0,2,91,1,1,0,0,8.08,1086348.0,1
3,3.0,2655,7996.0,1,44,1,0,0,1,2.89,828182.0,1
1,2.0,661,6831.0,2,34,1,0,1,0,12.36,315651.0,0
5,5.0,4896,4721.0,1,40,1,1,0,1,8.57,1328471.0,1
4,5.0,2839,2299.0,2,82,1,0,0,1,9.01,844231.0,1
5,5.0,3926,2370.0,1,26,1,1,0,0,18.57,908962.0,1
4,4.0,2923,2927.0,2,88,1,0,0,1,11.75,788837.0,0
4,4.0,3041,3410.0,1,111,1,1,0,1,3.13,989069.0,1
3,4.0,2012,2835.0,3,120,1,1,0,0,9.09,648227.0,0
4,5.0,3445,8596.0,1,14,0,0,0,1,12.5,971691.0,1
4,4.0,3167,3261.0,2,96,1,1,0,1,3.86,912190.0,1
5,5.0,4075,2408.0,1,15,1,0,0,0,13.8,1027100.0,1
3,3.5,1767,2091.0,2,87,1,0,0,1,2.92,592590.0,0
3,3.0,1860,2731.0,1,39,1,0,0,0,16.24,563852.0,0
4,4.0,2307,1744.0,1,2,1,0,1,0,16.18,575067.0,0
2,2.0,1091,1716.0,2,56,1,1,0,0,23.92,282472.0,0
3,4.0,3203,3199.0,2,32,1,0,0,0,14.79,748024.0,0
4,4.0,3367,3116.0,2,57,1,0,0,0,19.96,823990.0,1
3,3.0,2169,1590.0,1,102,1,1,0,1,7.16,639542.0,0
4,4.0,2591,4246.0,1,43,1,1,0,1,10.52,768161.0,0
4,4.0,3068,1849.0,1,19,1,0,0,1,10.97,761767.0,0
1,2.0,600,4631.0,1,23,0,1,0,1,3.89,412053.0,0
4,4.0,2886,3008.0,2,3,1,0,1,0,23.52,714569.0,0
4,4.0,2614,1807.0,3,86,0,0,0,0,6.98,724272.0,0
2,3.0,2221,1527.0,1,18,1,1,0,1,0.87,672606.0,0
6,5.0,4215,2950.0,1,3,1,0,1,1,6.56,1081491.0,1
1,1.5,1054,10102.0,2,49,1,1,0,1,9.06,635083.0,0
2,2.0,1584,1627.0,1,22,1,1,0,0,15.47,461673.0,0
4,4.5,3086,6066.0,2,51,0,0,0,0,13.17,744259.0,0
3,3.0,1925,3619.0,2,111,1,1,0,1,2.72,603225.0,0
3,3.0,2376,5284.0,1,64,0,0,0,0,9.48,657665.0,0
3,3.0,2083,5414.0,1,16,0,1,0,0,30.0,460193.0,0
3,3.0,1957,1780.0,2,11,1,1,0,0,18.69,512534.0,0
3,4.0,2166,1635.0,2,71,1,1,0,1,7.16,619783.0,0
3,3.5,2474,4253.0,1,21,1,1,0,1,13.39,792488.0,1
5,5.0,3626,1503.0,2,27,0,1,0,0,14.11,911145.0,1
5,5.0,3650,2909.0,2,55,0,1,0,1,3.73,1000462.0,1
4,4.0,2382,4299.0,1,65,1,1,0,1,4.22,826015.0,1
1,1.5,937,10228.0,2,120,1,1,0,1,5.17,436559.0,0
3,3.0,1581,1643.0,1,35,1,1,0,0,18.19,433409.0,0
4,4.0,3066,1534.0,1,36,1,0,0,0,2.62,822104.0,1
3,3.0,2572,4676.0,2,6,1,1,1,1,7.94,850920.0,1
3,3.0,2100,2134.0,1,92,1,0,0,0,13.74,577654.0,0
4,4.0,3273,2753.0,3,73,1,0,0,0,13.62,891455.0,1
3,3.0,1601,5379.0,2,2,1,0,1,1,9.56,529869.0,0
3,3.0,2472,2901.0,2,94,1,1,0,0,14.14,596936.0,0
2,2.5,2114,3329.0,2,84,1,0,0,1,8.32,612967.0,0
2,2.5,2471,1664.0,1,32,1,1,0,1,6.13,741355.0,0
4,5.0,3059,1952.0,2,104,1,0,0,1,8.06,838268.0,1
3,3.5,2785,2043.0,1,61,1,1,0,1,2.78,761526.0,0
2,2.0,2293,1673.0,1,3,1,0,1,1,6.2,684500.0,0
4,4.0,3658,2818.0,3,49,1,0,0,1,2.38,992213.0,1
3,4.0,2729,14411.0,1,68,0,0,0,1,2.95,939281.0,1
2,2.0,1623,1800.0,1,28,1,0,0,1,3.07,514245.0,0
5,5.0,3427,5334.0,2,19,1,1,0,1,3.53,1056524.0,1
2,2.5,1992,3346.0,1,24,1,0,0,1,1.46,667902.0,0
3,3.0,2413,2859.0,1,99,1,0,0,0,20.39,658197.0,0
2,2.0,1406,1754.0,2,17,1,0,1,1,9.38,415718.0,0
3,4.0,2853,1566.0,2,51,0,0,0,0,19.33,695892.0,0
3,4.0,2012,6032.0,1,111,0,0,0,1,8.96,630035.0,0
1,1.0,1185,5803.0,2,96,1,0,1,0,13.37,445808.0,0
4,5.0,3637,4216.0,1,53,1,1,0,1,3.03,1067875.0,1
4,4.5,2701,10140.0,1,117,1,1,0,0,3.44,905885.0,1
3,3.5,2315,3831.0,1,90,1,0,0,0,13.0,642652.0,0
4,4.0,2405,5520.0,1,85,1,0,0,1,8.68,763996.0,0
5,5.0,3813,1913.0,2,58,1,1,0,1,7.88,1127673.0,1
4,4.0,3060,4633.0,2,124,0,0,0,0,21.41,785304.0,0
3,3.0,1740,3803.0,1,94,1,0,0,0,21.36,484334.0,0
2,2.5,2291,2049.0,1,78,1,1,0,1,7.25,732562.0,0
2,3.0,2206,1946.0,1,35,1,1,0,0,16.07,562343.0,0
1,1.0,1213,14450.0,1,68,1,1,0,1,2.92,589657.0,0
4,4.0,3577,2379.0,2,48,1,1,0,0,24.61,878472.0,1
2,3.0,2051,3238.0,1,29,1,1,0,1,8.88,736014.0,0
3,3.0,1769,1842.0,2,40,1,0,0,1,4.35,549163.0,0
5,5.0,3210,5920.0,1,108,1,1,0,1,5.05,1010287.0,1
3,4.0,2664,4998.0,1,59,1,0,0,1,5.93,816784.0,1
3,3.5,1536,4090.0,1,45,1,1,0,1,13.25,525683.0,0
3,3.5,2464,3347.0,2,43,1,0,0,0,19.3,617856.0,0
4,4.5,3490,2540.0,2,72,1,1,0,1,7.68,973534.0,1
5,5.0,3340,1636.0,1,51,0,1,0,0,11.71,872195.0,1
2,2.0,1491,1636.0,1,9,1,0,1,0,11.1,426728.0,0
3,4.0,3014,11745.0,1,112,1,1,0,0,19.74,874120.0,1
4,4.0,3046,5700.0,1,62,1,0,0,0,15.3,835439.0,1
3,4.0,3013,3322.0,2,3,1,0,1,1,1.98,914357.0,1
3,3.0,1596,3111.0,3,56,1,0,0,1,2.57,621119.0,0
2,2.0,1150,5716.0,1,98,0,0,0,0,13.29,447469.0,0
5,5.0,3641,9003.0,1,102,0,0,0,1,4.2,1077120.0,1
3,3.0,2759,3110.0,1,61,0,1,0,1,3.75,775870.0,0
4,4.0,3391,2560.0,1,12,0,1,0,0,16.19,891842.0,1
3,3.0,1651,5924.0,1,46,1,0,0,1,5.76,679774.0,0
3,3.0,3009,1565.0,3,25,1,1,0,1,3.39,829136.0,1
4,5.0,3139,2138.0,2,57,1,0,0,0,7.34,851614.0,1
5,5.0,3589,3502.0,1,45,1,1,0,1,1.69,970904.0,1
4,4.5,3099,1759.0,2,27,1,0,0,1,3.92,906976.0,1
2,3.0,1718,6571.0,2,22,1,1,0,0,23.79,448808.0,0
4,4.5,3219,3846.0,1,63,0,0,0,0,17.16,835802.0,1
6,5.0,4587,3156.0,1,2,1,0,1,1,2.96,1168388.0,1
6,5.0,4058,2307.0,1,97,1,1,0,1,10.7,1067563.0,1
3,4.0,2922,2880.0,1,43,0,0,0,1,8.41,771598.0,0
4,4.0,3104,4578.0,1,77,0,1,1,0,16.9,902718.0,1
3,3.0,2468,1976.0,1,66,0,1,0,0,22.19,627397.0,0
3,3.0,2538,4176.0,2,86,1,1,0,0,14.59,698146.0,0
2,2.5,1004,3572.0,1,63,1,1,0,1,10.95,385349.0,0
3,3.5,2145,3807.0,1,46,0,0,0,1,2.64,650675.0,0
2,2.0,977,2158.0,2,10,1,0,1,0,14.12,389765.0,0
2,2.5,1440,3102.0,1,77,1,0,0,1,10.65,559216.0,0
3,3.0,1957,4589.0,2,98,0,0,0,1,9.53,568626.0,0
6,5.0,4224,1731.0,2,29,1,0,0,0,30.05,946615.0,1
6,5.0,4329,9766.0,1,78,1,1,0,1,9.3,1323486.0,1
3,4.0,1824,1741.0,2,9,0,1,1,1,2.97,645738.0,0
6,5.0,3773,2594.0,2,11,1,0,1,1,3.02,1134535.0,1
6,5.0,4364,6559.0,1,32,0,0,0,1,3.28,1184597.0,1
3,3.0,2022,1816.0,1,19,1,1,0,1,6.67,690777.0,0
4,4.0,3300,6412.0,2,96,0,0,0,1,11.2,924402.0,1
5,5.0,4001,2463.0,2,81,1,1,0,1,11.59,1144119.0,1
4,4.5,3320,6076.0,2,23,1,0,0,1,4.85,976047.0,1
5,5.0,3171,6278.0,2,74,0,1,0,0,18.45,826597.0,1
3,3.5,2748,4429.0,1,2,1,1,1,1,3.11,807992.0,1
2,2.0,1573,3414.0,2,24,1,1,0,1,3.99,558123.0,0
3,4.0,2624,6220.0,1,20,1,0,0,0,18.12,611810.0,0
6,5.0,3656,3199.0,2,6,1,0,1,1,3.8,1042538.0,1
4,5.0,3369,1966.0,1,19,1,0,0,1,6.64,878296.0,1
3,3.0,2155,3131.0,2,109,1,1,1,0,11.6,529125.0,0
2,3.0,2183,1720.0,1,33,1,1,0,0,13.24,612190.0,0
5,5.0,3477,7270.0,1,40,1,1,0,0,3.74,1072144.0,1
6,5.0,3845,4365.0,2,89,1,0,0,0,16.1,945994.0,1
4,4.5,3664,1698.0,1,78,0,0,0,0,9.76,847221.0,1
3,3.0,1944,3519.0,2,107,0,0,0,1,3.54,703029.0,0
3,3.0,1878,7331.0,1,23,0,1,0,1,5.22,684118.0,0
5,5.0,3572,10954.0,2,32,1,0,0,0,13.59,1072825.0,1
3,3.0,2665,9148.0,2,33,1,0,0,1,8.47,787493.0,0
5,5.0,3709,1886.0,1,74,1,1,0,0,21.26,828257.0,1
3,3.5,2195,2430.0,1,65,1,0,0,0,20.85,537102.0,0
6,5.0,4705,2217.0,1,96,1,1,0,1,6.61,1272101.0,1
5,5.0,3030,8847.0,1,27,0,1,0,1,3.27,945873.0,1
4,4.0,2427,5410.0,2,103,1,0,0,0,8.32,747456.0,0
4,4.0,2682,4147.0,2,8,1,1,1,1,9.85,813271.0,1
5,5.0,3523,5959.0,2,71,1,0,0,1,2.84,1106429.0,1
3,4.0,2649,5199.0,1,31,1,0,0,1,8.99,735079.0,0
2,2.0,1963,3210.0,1,120,1,0,0,1,4.09,632020.0,0
2,2.0,1486,2198.0,1,114,0,0,0,1,9.84,438703.0,0
2,2.0,1758,3287.0,2,60,1,1,0,1,5.94,625839.0,0
3,3.0,1402,2672.0,1,28,1,0,1,0,5.73,552999.0,0
5,5.0,3759,15292.0,2,123,1,1,0,1,5.34,1269668.0,1
3,3.0,1918,4117.0,3,40,0,1,0,1,2.55,645664.0,0
5,5.0,3658,7278.0,2,28,1,0,0,0,10.61,1035829.0,1
1,1.5,2027,11964.0,1,42,0,0,0,1,2.86,684340.0,0
3,4.0,3312,1969.0,2,16,1,0,0,0,17.41,818337.0,1
3,3.0,2570,4125.0,1,26,0,1,0,1,8.12,691737.0,0
3,3.0,2359,1629.0,2,87,1,1,0,0,15.61,632731.0,0
4,4.5,3699,5173.0,1,17,0,0,0,0,25.62,895637.0,1
3,4.0,2213,12830.0,2,20,1,0,0,0,11.27,737384.0,0
5,5.0,3538,5143.0,1,125,1,1,0,0,20.71,927884.0,1
5,5.0,3827,2708.0,1,62,1,1,0,1,10.88,1110997.0,1
4,4.0,3200,6435.0,1,101,1,1,0,1,7.91,933051.0,1
1,1.0,1095,2008.0,1,43,1,0,0,1,7.94,373736.0,0
4,4.0,2839,3085.0,2,89,0,1,0,1,5.94,836725.0,1
4,4.5,3998,1679.0,2,73,1,0,0,1,4.0,1112056.0,1
1,1.5,1208,8610.0,2,43,1,1,1,0,21.13,442262.0,0
2,2.5,1569,3813.0,1,17,1,1,0,1,7.2,542110.0,0
6,5.0,4187,11196.0,2,104,0,1,0,1,4.87,1239159.0,1
4,5.0,3443,3787.0,1,90,1,0,0,1,7.48,952103.0,1
4,4.5,3330,1661.0,1,81,1,1,0,1,9.61,874905.0,1
5,5.0,4057,4049.0,2,36,1,0,0,0,7.73,1048874.0,1
4,4.0,3215,2397.0,2,102,1,0,0,1,11.36,928870.0,1
2,3.0,1578,3450.0,1,51,1,1,0,1,4.62,584582.0,0
1,1.5,1139,6776.0,2,4,1,1,1,1,4.01,584522.0,0
3,3.0,2783,3465.0,2,46,1,1,0,0,12.98,722074.0,0
6,5.0,4827,2431.0,2,81,1,1,0,1,4.91,1247017.0,1
2,2.5,1477,1650.0,2,83,1,1,0,1,9.46,546936.0,0
4,4.0,3559,4663.0,1,65,1,0,0,1,3.95,956963.0,1
6,5.0,4603,3277.0,2,65,0,1,0,1,9.8,1169444.0,1
5,5.0,3581,2451.0,2,104,0,0,0,0,18.8,892836.0,1
4,4.0,2528,5185.0,2,22,0,1,0,0,12.54,692414.0,0
3,3.5,1696,6175.0,3,8,1,1,1,1,11.15,680161.0,0
3,3.5,1970,1904.0,2,43,0,1,0,1,5.63,599070.0,0
2,2.0,1784,2467.0,2,61,1,1,0,1,3.36,602136.0,0
3,3.0,2596,4204.0,1,53,1,1,0,1,6.37,787779.0,0
4,4.0,3303,8534.0,2,2,1,1,1,1,3.59,1033398.0,1
4,5.0,3673,2757.0,1,91,1,0,1,0,12.52,951252.0,1
4,4.0,3225,5069.0,2,12,1,0,0,1,8.84,929076.0,1
4,4.5,2495,4553.0,2,94,1,1,0,0,21.58,731732.0,0
4,4.0,2634,2952.0,2,91,0,1,0,1,9.78,822152.0,1
5,5.0,3518,4759.0,2,63,1,1,0,0,15.17,915916.0,1
3,3.5,2961,7736.0,1,52,1,0,1,0,12.67,899740.0,1
4,4.5,2686,3972.0,2,22,0,0,0,0,16.1,746588.0,0
2,2.0,1007,3068.0,2,51,0,1,0,1,6.66,311716.0,0
2,2.0,2137,1639.0,2,22,1,1,0,0,16.91,440402.0,0
5,5.0,3612,3075.0,1,24,1,1,0,1,10.99,983011.0,1
6,5.0,4394,2691.0,2,2,1,0,1,1,12.69,1266348.0,1
3,3.5,1987,2918.0,1,37,1,1,1,0,22.55,488738.0,0
4,4.5,3937,7230.0,1,83,0,1,0,0,19.98,898987.0,1
3,4.0,2806,3340.0,1,67,1,1,0,0,21.32,723069.0,0
3,3.0,2292,8810.0,2,7,1,1,1,1,8.77,760532.0,0
5,5.0,4060,3387.0,1,111,1,0,0,1,11.74,1052272.0,1
2,2.0,888,4478.0,2,41,1,0,0,1,8.76,427069.0,0
6,5.0,3943,4007.0,1,63,1,1,0,1,8.18,1134401.0,1
4,4.5,3447,3210.0,1,38,0,0,1,1,3.56,997763.0,1
4,5.0,4039,5092.0,1,29,1,0,0,0,18.26,906507.0,1
4,4.0,2932,2499.0,2,89,1,0,0,0,7.36,771179.0,0
3,3.5,2273,2048.0,1,82,1,1,1,1,3.87,759526.0,0
3,4.0,2160,2244.0,1,101,1,1,0,1,2.49,662476.0,0
4,4.5,2748,1568.0,1,51,1,1,0,1,1.94,843147.0,1
5,5.0,4037,4521.0,1,40,0,0,0,1,3.85,1154188.0,1
4,4.0,3041,3631.0,1,67,1,0,0,0,26.89,711231.0,0
4,4.0,3250,1567.0,1,38,1,0,0,1,2.99,963686.0,1
3,3.5,2511,3432.0,1,31,1,1,0,0,16.41,679831.0,0
3,3.0,2097,3209.0,3,51,1,0,0,0,13.84,574488.0,0
4,4.0,2670,6431.0,1,38,1,0,0,1,3.8,922275.0,1
3,3.0,2315,2236.0,1,17,1,0,1,0,15.73,648971.0,0
4,5.0,3513,3432.0,2,42,1,0,0,1,3.47,1032829.0,1
4,4.0,2484,2481.0,2,18,1,1,0,0,15.18,707114.0,0
4,4.0,3407,1597.0,2,103,1,0,0,0,11.53,846803.0,1
4,4.0,3398,2860.0,1,95,1,1,1,1,0.65,1033756.0,1
4,4.5,2592,3162.0,1,109,1,1,0,1,4.21,735662.0,0
5,5.0,4090,2450.0,1,103,1,0,0,1,3.54,1164321.0,1
4,4.0,2770,6488.0,1,63,0,1,0,1,12.16,761851.0,0
5,5.0,3530,2833.0,2,67,1,1,0,1,8.69,982089.0,1
3,3.0,2177,2581.0,2,64,1,0,0,0,15.21,576949.0,0
3,4.0,1742,2050.0,1,38,0,0,1,1,3.2,628938.0,0
3,4.0,2580,2418.0,1,94,1,1,0,0,19.77,658339.0,0
3,3.5,2403,1848.0,1,5,1,1,1,1,4.56,648871.0,0
2,2.0,1591,3934.0,1,30,0,0,0,1,11.51,539566.0,0
5,5.0,3928,6906.0,2,26,1,1,0,1,9.69,1009121.0,1
4,4.0,3390,1737.0,1,27,1,1,0,1,11.38,842735.0,1
3,3.0,2594,3847.0,1,45,1,1,1,1,8.02,798720.0,1
5,5.0,3466,4357.0,1,31,1,0,0,1,9.05,947917.0,1
5,5.0,3231,7961.0,2,35,1,0,0,0,10.98,954531.0,1
3,3.5,2330,6018.0,1,29,1,0,0,0,10.62,673363.0,0
6,5.0,4168,2323.0,2,23,0,1,0,1,8.31,1114092.0,1
4,4.0,3322,3154.0,1,13,1,0,0,1,3.03,1046565.0,1
4,4.5,3548,1577.0,2,56,1,0,0,1,3.11,1076390.0,1
4,4.0,3207,1802.0,2,31,1,0,0,1,2.27,971311.0,1
3,3.0,1817,4695.0,2,11,1,1,0,0,14.99,516499.0,0
