"ad_click","age","gender","income","location","device","interest_category","time_spent_on_site","number_of_pages_viewed"
1,46,"female",189144,"rural","desktop","Technology",45,6
1,32,"male",248416,"suburban","desktop","Technology",13,7
1,40,"female",147177,"suburban","desktop","Technology",3,24
0,29,"male",65726,"rural","desktop","Travel",2,11
0,62,"female",78377,"urban","desktop","Technology",4,13
1,48,"female",41956,"urban","desktop","Fashion",50,24
1,45,"male",236097,"suburban","desktop","Sports",46,12
1,43,"male",169848,"urban","mobile","Travel",9,25
1,21,"male",85511,"urban","desktop","Fashion",3,18
1,26,"female",215857,"rural","desktop","Fashion",40,15
0,54,"male",201083,"suburban","desktop","Sports",48,4
1,56,"male",219167,"suburban","desktop","Fashion",17,13
1,54,"male",170186,"urban","desktop","Travel",54,20
0,35,"female",100023,"rural","mobile","Fashion",10,14
1,31,"male",58540,"urban","desktop","Technology",24,5
0,21,"female",31220,"urban","desktop","Technology",43,22
1,53,"female",118594,"rural","mobile","Technology",50,4
1,59,"male",158851,"suburban","desktop","Travel",8,5
1,57,"female",104885,"suburban","mobile","Technology",11,14
0,69,"male",124270,"urban","desktop","Sports",8,4
1,49,"male",223943,"urban","desktop","Sports",29,24
0,43,"female",192406,"suburban","mobile","Technology",24,15
1,58,"female",225569,"suburban","desktop","Sports",44,15
1,37,"male",165837,"suburban","mobile","Sports",4,16
0,68,"female",124424,"rural","mobile","Travel",19,6
0,44,"female",89320,"suburban","mobile","Sports",37,4
0,59,"female",55746,"urban","desktop","Sports",16,5
0,56,"male",87601,"rural","mobile","Travel",32,11
0,38,"female",80923,"suburban","desktop","Travel",6,2
1,35,"male",35955,"urban","desktop","Fashion",36,6
1,21,"male",179026,"urban","mobile","Technology",25,16
1,42,"female",102154,"urban","mobile","Sports",38,6
1,32,"male",93523,"suburban","desktop","Technology",56,13
1,47,"female",202184,"urban","desktop","Fashion",49,7
1,48,"female",221980,"rural","desktop","Technology",55,12
0,21,"male",35960,"suburban","mobile","Travel",45,19
1,34,"male",105132,"urban","mobile","Travel",25,14
1,29,"male",63738,"rural","desktop","Fashion",37,17
1,47,"male",196675,"suburban","desktop","Fashion",41,6
1,20,"male",163759,"suburban","desktop","Technology",19,16
0,51,"male",34750,"urban","mobile","Technology",39,23
1,63,"male",187867,"urban","desktop","Sports",6,25
0,51,"female",73347,"urban","desktop","Fashion",41,23
0,48,"male",32802,"urban","desktop","Travel",52,21
0,55,"female",82247,"rural","desktop","Travel",24,9
1,35,"male",96262,"rural","desktop","Travel",38,5
0,55,"female",85941,"suburban","mobile","Travel",25,11
0,68,"male",60217,"rural","mobile","Travel",2,23
1,32,"female",224359,"suburban","mobile","Technology",28,6
1,36,"male",159219,"urban","mobile","Fashion",34,13
0,32,"female",131079,"urban","mobile","Sports",29,10
0,48,"female",168645,"urban","desktop","Travel",15,25
0,24,"male",82259,"urban","mobile","Travel",15,4
1,58,"female",173081,"suburban","mobile","Sports",59,1
1,64,"female",210495,"suburban","mobile","Travel",27,8
1,59,"female",196078,"suburban","mobile","Travel",50,6
1,57,"female",45529,"rural","mobile","Travel",48,12
1,31,"male",153339,"suburban","desktop","Fashion",45,1
0,63,"female",190486,"suburban","mobile","Technology",3,19
1,66,"female",124678,"rural","mobile","Fashion",15,10
1,43,"female",231521,"suburban","mobile","Travel",55,21
1,28,"male",220003,"suburban","mobile","Fashion",4,7
0,48,"male",58452,"rural","desktop","Technology",14,1
0,45,"male",166354,"urban","mobile","Sports",47,4
1,54,"female",192307,"urban","desktop","Sports",42,23
0,66,"male",96759,"suburban","mobile","Fashion",38,12
0,57,"male",158780,"urban","desktop","Sports",41,8
1,23,"male",79666,"rural","desktop","Travel",22,20
1,33,"female",178588,"suburban","desktop","Travel",32,22
0,35,"male",200087,"suburban","mobile","Sports",23,20
1,41,"female",140822,"urban","desktop","Sports",20,24
0,20,"female",66349,"suburban","desktop","Technology",33,2
1,19,"female",140626,"urban","mobile","Fashion",20,15
0,26,"male",183501,"suburban","desktop","Technology",28,25
0,55,"female",22236,"urban","desktop","Technology",43,14
1,33,"female",51410,"urban","desktop","Fashion",44,2
1,59,"female",234375,"rural","desktop","Sports",49,14
1,51,"male",191047,"urban","mobile","Fashion",36,7
1,41,"male",131891,"suburban","desktop","Travel",52,3
0,52,"male",53370,"rural","mobile","Fashion",5,24
1,21,"female",167653,"suburban","mobile","Fashion",24,21
1,33,"female",225808,"rural","desktop","Travel",49,15
1,52,"female",40628,"suburban","desktop","Fashion",28,8
0,37,"female",48283,"suburban","desktop","Travel",15,3
0,34,"female",87699,"rural","desktop","Sports",51,2
1,60,"female",152915,"suburban","mobile","Fashion",19,14
1,31,"male",235907,"urban","desktop","Sports",13,20
1,69,"male",170640,"urban","desktop","Technology",42,23
0,19,"male",54005,"rural","mobile","Fashion",33,21
1,39,"female",185832,"rural","desktop","Fashion",58,13
1,47,"female",244391,"suburban","mobile","Sports",20,25
1,37,"female",167874,"urban","desktop","Sports",36,6
1,44,"female",56000,"suburban","desktop","Technology",58,15
0,47,"female",48605,"urban","desktop","Sports",31,23
0,62,"female",41016,"urban","desktop","Sports",17,9
1,29,"female",34061,"suburban","desktop","Travel",47,25
0,33,"male",112351,"rural","desktop","Fashion",31,15
1,54,"male",157363,"suburban","mobile","Travel",15,24
1,69,"male",249865,"suburban","desktop","Fashion",24,15
1,40,"female",184609,"urban","desktop","Fashion",34,3
1,22,"female",33657,"urban","desktop","Technology",45,22
1,31,"female",148183,"urban","mobile","Travel",14,5
1,29,"male",171543,"suburban","mobile","Technology",48,5
0,68,"female",130755,"rural","mobile","Travel",32,1
1,23,"male",211510,"urban","desktop","Travel",20,19
1,66,"male",102293,"urban","desktop","Sports",43,13
1,42,"female",97285,"urban","desktop","Travel",59,2
1,64,"male",232332,"suburban","mobile","Technology",58,3
1,55,"male",51875,"suburban","desktop","Travel",57,1
1,59,"female",184001,"urban","desktop","Sports",25,16
1,50,"female",97962,"suburban","mobile","Technology",37,15
0,34,"female",120844,"rural","mobile","Fashion",22,4
1,46,"male",180208,"urban","desktop","Sports",41,15
1,27,"female",42985,"suburban","mobile","Technology",54,6
1,40,"female",197881,"suburban","desktop","Travel",23,19
1,45,"female",104135,"suburban","desktop","Technology",44,8
1,41,"female",108888,"suburban","desktop","Travel",19,2
1,49,"female",109877,"suburban","desktop","Sports",45,21
1,19,"male",153159,"urban","desktop","Sports",26,8
0,54,"male",147202,"urban","desktop","Travel",49,7
1,53,"female",132526,"urban","mobile","Fashion",36,9
0,52,"female",62481,"suburban","mobile","Technology",4,6
1,47,"male",38681,"suburban","mobile","Fashion",26,19
1,46,"male",184839,"urban","mobile","Fashion",15,11
0,26,"female",45262,"suburban","desktop","Travel",40,17
0,69,"female",119611,"suburban","desktop","Fashion",49,18
1,38,"male",64161,"urban","desktop","Travel",45,4
0,41,"male",44733,"suburban","desktop","Fashion",3,12
1,42,"female",236524,"urban","mobile","Sports",55,7
1,65,"male",175880,"urban","desktop","Fashion",35,14
1,42,"female",140754,"urban","desktop","Sports",27,11
1,30,"female",105743,"urban","desktop","Fashion",42,10
0,50,"male",185195,"suburban","mobile","Fashion",5,3
1,69,"male",137496,"suburban","desktop","Travel",36,21
0,46,"female",88387,"suburban","desktop","Travel",3,12
1,54,"female",241949,"suburban","mobile","Fashion",45,6
1,29,"female",152843,"suburban","mobile","Fashion",48,4
1,42,"female",23725,"urban","desktop","Travel",27,9
1,20,"male",223987,"urban","mobile","Fashion",32,6
1,45,"male",146104,"suburban","mobile","Fashion",42,13
1,64,"male",28747,"suburban","desktop","Travel",26,22
0,30,"female",78014,"urban","mobile","Technology",25,6
1,54,"male",81018,"suburban","desktop","Travel",39,5
1,47,"male",187493,"urban","mobile","Travel",57,24
1,26,"female",191852,"suburban","mobile","Sports",52,13
1,54,"male",180903,"suburban","desktop","Technology",19,12
1,18,"female",244755,"urban","mobile","Fashion",48,25
1,30,"female",34373,"suburban","mobile","Fashion",38,5
1,46,"male",165717,"urban","desktop","Travel",4,17
0,65,"female",75080,"suburban","mobile","Fashion",19,3
0,54,"male",36789,"suburban","mobile","Travel",27,14
1,69,"male",41722,"urban","desktop","Technology",39,24
0,61,"male",98667,"urban","desktop","Fashion",43,4
1,60,"female",199012,"urban","mobile","Fashion",32,1
1,18,"male",84866,"suburban","mobile","Travel",29,13
1,23,"male",34129,"rural","mobile","Sports",56,4
1,18,"male",172722,"suburban","desktop","Sports",30,2
1,49,"male",197939,"urban","mobile","Sports",11,17
1,65,"male",182199,"urban","mobile","Fashion",39,21
1,36,"female",106389,"suburban","mobile","Sports",9,8
1,26,"female",178531,"suburban","desktop","Technology",59,17
1,22,"female",134308,"urban","desktop","Technology",51,3
1,33,"male",77998,"rural","desktop","Travel",10,14
1,61,"female",150396,"rural","desktop","Fashion",54,8
0,60,"female",190624,"suburban","mobile","Fashion",32,23
1,68,"male",186708,"urban","desktop","Technology",58,14
1,51,"male",97306,"urban","mobile","Fashion",36,15
1,68,"male",231541,"suburban","desktop","Travel",48,6
0,68,"female",30745,"rural","mobile","Fashion",53,14
1,54,"male",126213,"urban","desktop","Technology",24,15
1,55,"male",145456,"suburban","desktop","Travel",5,8
1,38,"female",146092,"suburban","desktop","Sports",12,6
0,20,"male",172779,"suburban","desktop","Fashion",14,10
0,64,"male",142356,"suburban","desktop","Technology",36,5
0,65,"male",83607,"suburban","mobile","Sports",20,21
1,68,"male",165281,"suburban","desktop","Technology",34,10
1,45,"male",100366,"suburban","desktop","Technology",51,12
0,53,"male",58744,"rural","desktop","Technology",23,4
1,31,"female",63571,"rural","desktop","Fashion",39,11
1,18,"female",141509,"urban","desktop","Technology",48,23
1,61,"female",195215,"urban","desktop","Fashion",12,19
0,60,"male",70490,"rural","desktop","Fashion",14,16
1,68,"male",111054,"suburban","desktop","Fashion",52,10
1,63,"female",235760,"urban","mobile","Sports",14,17
1,39,"female",208097,"rural","desktop","Sports",4,24
0,61,"male",64719,"rural","mobile","Fashion",11,6
1,39,"male",232925,"suburban","desktop","Fashion",22,20
1,25,"male",236245,"urban","desktop","Fashion",38,4
1,40,"male",78923,"suburban","desktop","Sports",45,24
1,25,"male",155526,"urban","mobile","Travel",54,18
0,65,"male",190135,"urban","desktop","Fashion",49,6
0,54,"female",165773,"rural","desktop","Travel",44,20
1,30,"female",185575,"suburban","desktop","Fashion",51,1
1,19,"female",211841,"urban","mobile","Travel",55,12
1,45,"male",162939,"suburban","mobile","Fashion",23,12
1,19,"female",222436,"urban","desktop","Travel",55,9
1,69,"female",88268,"suburban","mobile","Fashion",39,4
1,63,"female",135665,"suburban","desktop","Technology",40,10
1,25,"male",235433,"suburban","desktop","Sports",31,5
1,32,"female",126289,"rural","mobile","Fashion",40,14
1,31,"female",134854,"rural","mobile","Travel",24,22
1,46,"male",150976,"urban","mobile","Fashion",36,18
1,39,"male",132323,"urban","desktop","Fashion",32,24
1,41,"male",114203,"suburban","desktop","Sports",18,19
0,64,"male",244429,"suburban","desktop","Sports",8,8
0,54,"male",56588,"suburban","desktop","Fashion",33,15
1,32,"male",192932,"suburban","mobile","Travel",52,3
1,34,"female",77224,"suburban","mobile","Travel",44,16
1,59,"female",101903,"urban","mobile","Fashion",24,18
0,39,"female",220503,"rural","mobile","Travel",14,10
0,32,"female",171175,"suburban","desktop","Sports",56,3
1,28,"female",237554,"suburban","mobile","Technology",50,12
1,59,"male",192958,"urban","desktop","Technology",44,5
0,61,"female",220174,"urban","desktop","Technology",57,11
1,31,"female",55408,"urban","desktop","Travel",41,9
1,24,"female",155871,"suburban","desktop","Sports",46,3
1,43,"female",114431,"rural","desktop","Travel",58,25
0,41,"male",54709,"suburban","mobile","Fashion",17,12
1,56,"female",34094,"urban","desktop","Fashion",38,17
1,34,"male",183451,"rural","desktop","Fashion",26,15
1,32,"female",207226,"urban","desktop","Fashion",36,22
0,22,"female",69433,"suburban","mobile","Travel",45,7
1,45,"female",229471,"urban","desktop","Sports",4,1
1,20,"female",122044,"suburban","mobile","Sports",45,5
1,25,"female",167625,"suburban","mobile","Sports",54,12
1,30,"female",89983,"suburban","mobile","Technology",59,15
0,22,"male",67253,"rural","desktop","Fashion",5,21
1,65,"female",20791,"suburban","mobile","Technology",42,10
1,30,"female",80945,"suburban","mobile","Sports",33,17
0,47,"female",91263,"suburban","desktop","Fashion",18,9
1,50,"female",68057,"suburban","desktop","Sports",56,14
1,70,"female",222913,"urban","desktop","Sports",46,11
1,33,"female",208163,"rural","mobile","Sports",17,17
1,47,"female",190456,"urban","desktop","Fashion",29,21
0,45,"female",98737,"suburban","mobile","Fashion",20,8
0,43,"male",207710,"suburban","desktop","Travel",40,20
0,61,"male",44230,"urban","desktop","Technology",19,17
0,58,"female",65835,"rural","mobile","Sports",54,19
0,35,"male",172817,"urban","desktop","Sports",44,10
1,31,"female",160158,"urban","desktop","Fashion",50,3
1,52,"male",72764,"urban","mobile","Fashion",23,11
1,43,"male",155375,"suburban","mobile","Technology",53,22
1,35,"male",215833,"suburban","desktop","Fashion",42,23
0,25,"female",129033,"suburban","desktop","Technology",10,5
1,30,"male",186372,"suburban","mobile","Travel",10,14
1,51,"male",68739,"suburban","desktop","Sports",33,16
1,43,"male",176796,"suburban","desktop","Sports",9,22
1,46,"female",235918,"urban","mobile","Travel",22,24
1,33,"male",137959,"urban","mobile","Fashion",18,13
1,19,"male",112702,"urban","mobile","Fashion",37,19
1,26,"male",128015,"suburban","desktop","Technology",44,23
1,60,"male",44331,"suburban","desktop","Travel",35,10
1,22,"male",135476,"rural","desktop","Travel",36,24
0,31,"female",22645,"suburban","mobile","Travel",23,25
1,35,"male",211293,"suburban","mobile","Travel",58,2
0,60,"male",150919,"urban","mobile","Travel",16,10
0,46,"male",169866,"rural","desktop","Sports",41,17
1,67,"female",219534,"urban","desktop","Travel",15,5
1,37,"male",234475,"urban","desktop","Sports",52,10
0,62,"male",78949,"rural","desktop","Sports",26,25
1,32,"male",162727,"suburban","desktop","Technology",19,21
1,40,"female",51600,"urban","desktop","Travel",59,19
1,23,"female",96570,"urban","desktop","Sports",23,4
1,31,"female",246644,"rural","mobile","Technology",14,25
1,21,"female",221740,"urban","desktop","Sports",42,18
0,62,"male",204691,"rural","desktop","Travel",36,12
0,62,"male",187160,"suburban","mobile","Travel",18,14
1,58,"male",84064,"urban","mobile","Fashion",29,20
1,20,"male",155904,"urban","desktop","Technology",47,19
0,69,"female",102653,"urban","mobile","Technology",17,25
0,55,"female",28102,"suburban","desktop","Technology",36,16
1,51,"female",249527,"suburban","desktop","Fashion",37,1
0,63,"male",117113,"rural","desktop","Fashion",59,1
1,28,"female",215424,"urban","mobile","Travel",58,8
1,44,"male",137020,"suburban","mobile","Sports",21,17
1,26,"male",187701,"urban","desktop","Travel",24,15
1,44,"female",211779,"suburban","mobile","Technology",18,2
0,21,"male",28809,"suburban","mobile","Technology",56,17
1,53,"male",239281,"urban","desktop","Sports",28,6
0,41,"male",23011,"suburban","desktop","Fashion",57,8
1,30,"male",236546,"urban","desktop","Technology",4,2
0,48,"male",179375,"suburban","mobile","Travel",11,2
1,35,"female",140064,"suburban","desktop","Sports",20,13
0,58,"male",144299,"urban","desktop","Travel",22,2
0,67,"male",229929,"rural","desktop","Travel",20,11
1,19,"female",51735,"suburban","desktop","Sports",54,18
0,39,"female",77127,"urban","desktop","Fashion",7,25
1,67,"male",204488,"suburban","desktop","Fashion",38,12
0,25,"male",201221,"urban","desktop","Sports",22,9
1,30,"male",113196,"rural","desktop","Fashion",18,3
0,21,"female",51883,"rural","desktop","Travel",14,24
1,38,"female",133442,"suburban","mobile","Fashion",7,25
0,24,"female",107594,"urban","desktop","Fashion",39,3
0,35,"female",144957,"suburban","desktop","Fashion",14,17
1,61,"female",43602,"rural","mobile","Fashion",41,2
1,30,"male",27454,"rural","mobile","Technology",15,8
1,52,"female",191593,"suburban","desktop","Technology",39,1
0,60,"female",220070,"suburban","mobile","Technology",40,1
1,50,"male",234151,"urban","mobile","Sports",34,22
0,67,"male",32036,"suburban","mobile","Travel",4,23
1,59,"female",157610,"urban","desktop","Technology",19,19
1,38,"female",75947,"urban","desktop","Fashion",45,17
1,67,"male",211384,"rural","desktop","Fashion",55,25
1,37,"male",129300,"urban","desktop","Travel",37,21
0,68,"male",186963,"rural","mobile","Travel",27,23
1,38,"male",222490,"urban","mobile","Sports",46,8
1,45,"male",143736,"suburban","desktop","Travel",55,18
1,46,"female",211302,"suburban","desktop","Sports",33,6
1,29,"female",116625,"suburban","desktop","Technology",35,25
1,22,"female",202408,"rural","mobile","Sports",46,4
1,51,"male",158864,"urban","desktop","Travel",37,11
1,28,"female",158804,"suburban","mobile","Fashion",45,23
1,44,"female",184450,"urban","desktop","Technology",27,20
1,45,"female",92129,"rural","desktop","Travel",38,1
1,31,"male",248285,"urban","mobile","Travel",54,9
0,36,"male",77863,"urban","desktop","Travel",52,7
1,68,"female",211386,"urban","desktop","Technology",52,19
1,30,"female",154464,"suburban","desktop","Fashion",45,2
1,64,"male",26304,"suburban","desktop","Sports",57,7
1,45,"female",204857,"rural","desktop","Technology",60,4
0,19,"female",89386,"urban","mobile","Travel",18,14
1,41,"male",173820,"urban","desktop","Technology",45,22
1,59,"female",192988,"urban","desktop","Sports",38,24
1,30,"male",233698,"suburban","desktop","Technology",7,25
1,48,"female",94050,"rural","mobile","Fashion",18,25
1,61,"male",171504,"urban","desktop","Fashion",33,1
1,64,"female",181319,"rural","desktop","Fashion",60,8
1,51,"male",198582,"rural","mobile","Fashion",17,19
0,43,"female",219944,"suburban","mobile","Sports",54,6
0,56,"female",54865,"suburban","desktop","Fashion",38,17
0,34,"female",58481,"urban","mobile","Travel",8,2
1,47,"male",188885,"suburban","desktop","Technology",20,14
1,59,"male",51309,"suburban","desktop","Technology",27,13
1,20,"male",186198,"urban","desktop","Travel",51,13
0,32,"male",79248,"rural","desktop","Travel",18,17
1,25,"male",148356,"suburban","desktop","Sports",6,2
1,29,"female",129945,"suburban","mobile","Fashion",45,1
0,54,"male",230577,"suburban","mobile","Technology",59,22
1,49,"male",210993,"suburban","desktop","Travel",51,7
1,55,"male",126532,"urban","desktop","Travel",24,8
1,22,"female",59023,"rural","desktop","Technology",35,18
1,58,"male",41317,"urban","mobile","Travel",32,24
1,57,"male",190717,"suburban","mobile","Sports",58,2
0,44,"female",103858,"urban","desktop","Fashion",52,13
1,58,"male",204396,"suburban","desktop","Travel",12,20
1,26,"male",157892,"urban","mobile","Fashion",40,15
1,26,"male",231113,"suburban","mobile","Fashion",14,18
1,22,"male",188496,"urban","desktop","Sports",9,3
1,45,"female",236331,"urban","mobile","Technology",28,16
0,66,"female",175281,"rural","mobile","Travel",15,17
1,22,"male",100220,"suburban","desktop","Technology",46,11
1,53,"female",80977,"suburban","desktop","Fashion",21,13
1,37,"male",72090,"suburban","mobile","Fashion",20,13
0,31,"female",157599,"suburban","mobile","Travel",28,14
1,47,"male",133290,"suburban","mobile","Technology",47,22
1,35,"male",103408,"suburban","desktop","Sports",32,14
0,24,"male",122987,"suburban","desktop","Technology",21,9
1,45,"female",223647,"rural","desktop","Travel",3,25
1,18,"female",59514,"suburban","mobile","Fashion",13,16
1,23,"female",169604,"urban","mobile","Fashion",42,14
1,70,"male",235861,"rural","mobile","Fashion",39,7
0,57,"male",47258,"urban","desktop","Travel",46,13
1,25,"female",99657,"urban","mobile","Sports",9,6
1,61,"female",223015,"suburban","desktop","Fashion",52,10
0,65,"female",240356,"urban","desktop","Travel",9,10
1,59,"female",100021,"suburban","desktop","Technology",23,24
1,22,"female",44030,"suburban","desktop","Technology",59,24
1,64,"female",249346,"urban","mobile","Sports",20,13
1,60,"female",216935,"rural","desktop","Travel",55,22
0,43,"female",62697,"rural","desktop","Travel",35,5
1,43,"male",243973,"urban","desktop","Technology",32,4
1,65,"male",92829,"urban","desktop","Technology",28,13
0,31,"female",50281,"suburban","desktop","Technology",45,14
1,65,"male",120333,"suburban","desktop","Technology",24,22
0,40,"female",144738,"suburban","mobile","Fashion",22,5
0,49,"female",44139,"rural","desktop","Travel",5,14
1,48,"male",135771,"urban","desktop","Travel",49,16
1,41,"female",107020,"urban","mobile","Sports",25,18
1,59,"male",206421,"urban","desktop","Travel",27,4
1,23,"male",214159,"suburban","mobile","Travel",57,4
1,42,"male",169536,"suburban","desktop","Sports",27,25
1,26,"female",24985,"suburban","desktop","Fashion",16,4
1,28,"female",147578,"rural","desktop","Sports",23,22
1,48,"female",220496,"urban","mobile","Fashion",31,3
0,64,"female",93819,"urban","desktop","Technology",26,15
0,34,"male",32366,"urban","desktop","Technology",14,13
1,65,"female",24352,"urban","desktop","Fashion",55,23
0,37,"male",112568,"urban","mobile","Travel",30,18
0,68,"female",165114,"suburban","mobile","Fashion",41,15
0,62,"female",158830,"suburban","desktop","Fashion",37,10
1,54,"female",72030,"urban","desktop","Fashion",4,22
1,38,"female",196440,"rural","desktop","Sports",15,20
1,31,"male",150280,"urban","desktop","Fashion",24,16
1,64,"female",212730,"suburban","desktop","Technology",59,12
1,63,"female",137044,"suburban","desktop","Fashion",57,20
1,30,"male",20776,"urban","mobile","Sports",47,16
1,49,"male",51267,"rural","desktop","Technology",41,11
1,22,"female",156121,"suburban","mobile","Sports",26,15
1,70,"male",169076,"rural","mobile","Sports",51,13
1,20,"male",58858,"urban","mobile","Technology",36,18
1,30,"male",174976,"urban","mobile","Fashion",4,17
1,63,"female",93560,"urban","mobile","Technology",6,16
1,50,"female",228562,"suburban","desktop","Travel",31,11
1,70,"female",159982,"urban","desktop","Fashion",4,5
0,31,"female",107837,"suburban","mobile","Technology",18,15
1,47,"female",209915,"urban","desktop","Sports",20,13
0,26,"female",84951,"urban","desktop","Sports",9,22
1,43,"female",244480,"urban","mobile","Fashion",52,15
1,44,"female",189674,"urban","desktop","Fashion",28,19
0,38,"female",116913,"suburban","desktop","Fashion",5,17
0,55,"female",140110,"suburban","mobile","Fashion",5,23
1,53,"female",237339,"urban","mobile","Fashion",46,6
1,68,"male",200095,"urban","desktop","Fashion",42,15
1,68,"male",209743,"rural","mobile","Sports",33,14
0,26,"female",60093,"urban","desktop","Fashion",6,11
0,41,"male",26403,"suburban","desktop","Technology",44,12
1,62,"male",172959,"urban","desktop","Sports",53,6
1,41,"female",125158,"suburban","desktop","Travel",41,22
1,31,"male",92045,"urban","desktop","Technology",43,10
0,44,"male",150613,"rural","desktop","Technology",36,1
0,62,"female",42336,"suburban","desktop","Technology",42,17
0,48,"female",73185,"suburban","desktop","Travel",10,21
1,64,"male",176186,"urban","mobile","Technology",16,24
1,61,"female",43537,"suburban","desktop","Fashion",4,8
1,35,"female",153139,"urban","desktop","Travel",32,17
1,48,"male",29355,"suburban","desktop","Fashion",48,23
1,24,"female",45384,"suburban","desktop","Travel",38,5
1,32,"male",182647,"urban","desktop","Fashion",29,20
1,34,"male",177217,"urban","desktop","Travel",45,16
1,59,"male",139831,"suburban","mobile","Technology",39,11
1,23,"female",137244,"urban","mobile","Travel",14,8
0,32,"female",93843,"rural","desktop","Sports",37,8
0,25,"male",61451,"rural","desktop","Technology",3,8
1,65,"male",131723,"suburban","desktop","Travel",19,8
1,38,"male",71596,"suburban","desktop","Fashion",50,15
1,28,"male",47521,"suburban","desktop","Technology",54,19
0,21,"female",195360,"suburban","mobile","Sports",9,19
